City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,59.18,77,56,9.78,ZA,1684096575
1,grytviken,-54.2811,-36.5092,34.29,97,100,13.89,GS,1684096576
2,hithadhoo,-0.6,73.0833,83.17,79,100,16.89,MV,1684096576
3,camana,-16.6228,-72.7111,72.43,73,4,5.95,PE,1684096078
4,dudinka,69.4058,86.1778,11.64,96,100,9.53,RU,1684096336
5,waitangi,-43.9535,-176.5597,55.06,65,97,9.24,NZ,1684096079
6,ushuaia,-54.8,-68.3,49.66,50,20,12.66,AR,1684096293
7,atafu village,-8.5421,-172.5159,83.25,79,100,13.27,TK,1684096085
8,la'ie,21.6477,-157.9253,82.36,70,60,8.01,US,1684096579
9,jingmen,31.0336,112.2047,67.37,88,100,4.43,CN,1684096579
10,jamestown,42.097,-79.2353,60.39,44,0,12.66,US,1684096291
11,selfoss,63.9331,-20.9971,40.05,78,56,11.07,IS,1684096580
12,vilyuchinsk,52.9306,158.4028,55.67,66,82,11.74,RU,1684096581
13,sultanah,24.4926,39.5857,97.25,7,0,6.91,SA,1684096581
14,hobyo,5.3505,48.5268,80.6,82,96,24.87,SO,1684096582
15,bodaybo,57.8506,114.1933,28.42,83,100,2.68,RU,1684096582
16,port-aux-francais,-49.35,70.2167,41.7,83,92,25.55,TF,1684096583
17,longyearbyen,78.2186,15.6401,22.84,74,75,3.44,SJ,1684096583
18,nishinoomote,30.7333,131.0,68.23,72,0,18.14,JP,1684096584
19,st. john's,47.5649,-52.7093,51.19,70,40,27.63,CA,1684096286
20,kapuskasing,49.4169,-82.4331,66.29,22,40,6.91,CA,1684096515
21,cidreira,-30.1811,-50.2056,65.48,73,52,7.18,BR,1684096585
22,lihue,21.9789,-159.3672,79.84,74,75,19.57,US,1684096586
23,vernon,50.2581,-119.2691,90.75,26,0,5.75,CA,1684096340
24,mandal,25.45,74.5667,88.14,29,13,8.23,IN,1684096587
25,talnakh,69.4865,88.3972,6.3,97,100,5.66,RU,1684096587
26,nikolayevsk-on-amure,53.1406,140.73,52.99,84,14,3.13,RU,1684096588
27,blackmans bay,-43.0167,147.3167,51.93,67,12,8.55,AU,1684096589
28,sulphur springs,33.1385,-95.6011,73.54,88,100,4.61,US,1684096399
29,ribeira grande,38.5167,-28.7,66.6,88,40,6.91,PT,1684096590
30,las lomitas,-24.7096,-60.593,75.36,40,0,5.86,AR,1684096591
31,cotoca,-17.8167,-63.05,85.86,51,20,9.22,BO,1684096592
32,stanley,54.868,-1.6985,53.19,85,75,6.91,GB,1684096308
33,mugia,43.1041,-9.2179,60.17,84,83,12.77,ES,1684096593
34,vila franca do campo,37.7167,-25.4333,66.61,84,90,2.28,PT,1684096594
35,tongliao,43.6125,122.2653,60.64,60,84,7.85,CN,1684096594
